"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","count_LFN258","count_RO258","count_RF258","count_LFN260","count_RO260","count_RF260"
39,2002,3,"Climate Action","CLIMA",9,"United Kingdom","UK",0,0,0,0,0,0
40,2002,3,"Climate Action","CLIMA",10,"Greece","EL",0,0,0,0,0,0
41,2002,3,"Climate Action","CLIMA",11,"Portugal","PT",0,0,0,0,0,0
42,2002,3,"Climate Action","CLIMA",12,"Spain","ES",0,0,0,0,0,0
43,2002,3,"Climate Action","CLIMA",13,"Austria","AT",0,0,0,0,0,0
44,2002,3,"Climate Action","CLIMA",14,"Finland","FI",0,0,0,0,0,0
45,2002,3,"Climate Action","CLIMA",15,"Sweden","SE",0,0,0,0,0,0
46,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"Belgium","BE",1,0,0,0,0,0
47,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"France","FR",3,2,0,0,0,0
48,2002,4,"Communication Networks, Content and Technology","CONNECT",3,"Germany","DE",4,0,0,0,0,0
49,2002,4,"Communication Networks, Content and Technology","CONNECT",4,"Italy","IT",2,1,0,0,0,0
50,2002,4,"Communication Networks, Content and Technology","CONNECT",5,"Luxembourg","LU",2,0,0,0,0,0
51,2002,4,"Communication Networks, Content and Technology","CONNECT",6,"Netherlands","NL",1,0,0,0,0,0
52,2002,4,"Communication Networks, Content and Technology","CONNECT",7,"Denmark","DK",0,0,0,0,0,0
53,2002,4,"Communication Networks, Content and Technology","CONNECT",8,"Ireland","IE",1,0,0,0,0,0
54,2002,4,"Communication Networks, Content and Technology","CONNECT",9,"United Kingdom","UK",0,0,0,0,0,0
55,2002,4,"Communication Networks, Content and Technology","CONNECT",10,"Greece","EL",2,1,0,0,0,0
56,2002,4,"Communication Networks, Content and Technology","CONNECT",11,"Portugal","PT",2,1,0,0,0,0
57,2002,4,"Communication Networks, Content and Technology","CONNECT",12,"Spain","ES",1,0,0,0,0,0
58,2002,4,"Communication Networks, Content and Technology","CONNECT",13,"Austria","AT",1,2,2,0,0,0
59,2002,4,"Communication Networks, Content and Technology","CONNECT",14,"Finland","FI",0,0,0,0,0,0
60,2002,4,"Communication Networks, Content and Technology","CONNECT",15,"Sweden","SE",0,0,0,0,0,0
61,2002,5,"Competition","COMP",1,"Belgium","BE",1,0,0,1,1,0
62,2002,5,"Competition","COMP",2,"France","FR",1,0,0,0,0,0
63,2002,5,"Competition","COMP",3,"Germany","DE",0,0,0,0,0,0
64,2002,5,"Competition","COMP",4,"Italy","IT",0,0,0,0,0,0
65,2002,5,"Competition","COMP",5,"Luxembourg","LU",0,0,0,0,0,0
66,2002,5,"Competition","COMP",6,"Netherlands","NL",0,0,0,0,0,0
67,2002,5,"Competition","COMP",7,"Denmark","DK",0,0,0,0,0,0
68,2002,5,"Competition","COMP",8,"Ireland","IE",0,0,0,0,0,0
69,2002,5,"Competition","COMP",9,"United Kingdom","UK",0,0,0,0,0,0
70,2002,5,"Competition","COMP",10,"Greece","EL",0,0,0,0,0,0
71,2002,5,"Competition","COMP",11,"Portugal","PT",1,1,0,0,0,0
72,2002,5,"Competition","COMP",12,"Spain","ES",0,0,0,0,0,0
73,2002,5,"Competition","COMP",13,"Austria","AT",0,0,0,0,0,0
74,2002,5,"Competition","COMP",14,"Finland","FI",1,0,0,0,0,0
75,2002,5,"Competition","COMP",15,"Sweden","SE",0,1,1,0,0,0
76,2002,6,"Defence Industry and Space","DEFIS",1,"Belgium","BE",0,0,0,0,0,0
77,2002,6,"Defence Industry and Space","DEFIS",2,"France","FR",0,0,0,0,0,0
78,2002,6,"Defence Industry and Space","DEFIS",3,"Germany","DE",0,0,0,0,0,0
79,2002,6,"Defence Industry and Space","DEFIS",4,"Italy","IT",0,0,0,0,0,0
80,2002,6,"Defence Industry and Space","DEFIS",5,"Luxembourg","LU",0,0,0,0,0,0
81,2002,6,"Defence Industry and Space","DEFIS",6,"Netherlands","NL",0,0,0,0,0,0
82,2002,6,"Defence Industry and Space","DEFIS",7,"Denmark","DK",0,0,0,0,0,0
83,2002,6,"Defence Industry and Space","DEFIS",8,"Ireland","IE",0,0,0,0,0,0
84,2002,6,"Defence Industry and Space","DEFIS",9,"United Kingdom","UK",0,0,0,0,0,0
85,2002,6,"Defence Industry and Space","DEFIS",10,"Greece","EL",0,0,0,0,0,0
86,2002,6,"Defence Industry and Space","DEFIS",11,"Portugal","PT",0,0,0,0,0,0
87,2002,6,"Defence Industry and Space","DEFIS",12,"Spain","ES",0,0,0,0,0,0
88,2002,6,"Defence Industry and Space","DEFIS",13,"Austria","AT",0,0,0,0,0,0
89,2002,6,"Defence Industry and Space","DEFIS",14,"Finland","FI",0,0,0,0,0,0
90,2002,6,"Defence Industry and Space","DEFIS",15,"Sweden","SE",0,0,0,0,0,0
91,2002,7,"Economic and Financial Affairs","ECFIN",1,"Belgium","BE",0,0,0,0,0,0
92,2002,7,"Economic and Financial Affairs","ECFIN",2,"France","FR",0,0,0,0,0,0
93,2002,7,"Economic and Financial Affairs","ECFIN",3,"Germany","DE",0,0,0,0,0,0
94,2002,7,"Economic and Financial Affairs","ECFIN",4,"Italy","IT",0,0,0,0,0,0
95,2002,7,"Economic and Financial Affairs","ECFIN",5,"Luxembourg","LU",0,0,0,0,0,0
96,2002,7,"Economic and Financial Affairs","ECFIN",6,"Netherlands","NL",0,0,0,0,0,0
97,2002,7,"Economic and Financial Affairs","ECFIN",7,"Denmark","DK",0,0,0,0,0,0
98,2002,7,"Economic and Financial Affairs","ECFIN",8,"Ireland","IE",0,0,0,0,0,0
99,2002,7,"Economic and Financial Affairs","ECFIN",9,"United Kingdom","UK",0,0,0,0,0,0
100,2002,7,"Economic and Financial Affairs","ECFIN",10,"Greece","EL",0,0,0,0,0,0
101,2002,7,"Economic and Financial Affairs","ECFIN",11,"Portugal","PT",0,0,0,0,0,0
102,2002,7,"Economic and Financial Affairs","ECFIN",12,"Spain","ES",0,0,0,0,0,0
103,2002,7,"Economic and Financial Affairs","ECFIN",13,"Austria","AT",0,0,0,0,0,0
104,2002,7,"Economic and Financial Affairs","ECFIN",14,"Finland","FI",0,0,0,0,0,0
105,2002,7,"Economic and Financial Affairs","ECFIN",15,"Sweden","SE",0,0,0,0,0,0
106,2002,8,"Education, Youth, Sport and Culture","EAC",1,"Belgium","BE",0,0,0,0,0,0
107,2002,8,"Education, Youth, Sport and Culture","EAC",2,"France","FR",0,0,0,0,0,0
108,2002,8,"Education, Youth, Sport and Culture","EAC",3,"Germany","DE",0,0,0,0,0,0
109,2002,8,"Education, Youth, Sport and Culture","EAC",4,"Italy","IT",1,0,0,0,0,0
110,2002,8,"Education, Youth, Sport and Culture","EAC",5,"Luxembourg","LU",0,0,0,0,0,0
111,2002,8,"Education, Youth, Sport and Culture","EAC",6,"Netherlands","NL",2,0,0,0,0,0
112,2002,8,"Education, Youth, Sport and Culture","EAC",7,"Denmark","DK",0,0,0,0,0,0
113,2002,8,"Education, Youth, Sport and Culture","EAC",8,"Ireland","IE",0,0,0,0,0,0
114,2002,8,"Education, Youth, Sport and Culture","EAC",9,"United Kingdom","UK",0,0,0,0,0,0
115,2002,8,"Education, Youth, Sport and Culture","EAC",10,"Greece","EL",0,0,0,0,0,0
116,2002,8,"Education, Youth, Sport and Culture","EAC",11,"Portugal","PT",0,0,0,0,0,0
117,2002,8,"Education, Youth, Sport and Culture","EAC",12,"Spain","ES",0,0,0,0,0,0
118,2002,8,"Education, Youth, Sport and Culture","EAC",13,"Austria","AT",1,0,1,0,0,0
119,2002,8,"Education, Youth, Sport and Culture","EAC",14,"Finland","FI",0,0,0,0,0,0
120,2002,8,"Education, Youth, Sport and Culture","EAC",15,"Sweden","SE",0,0,0,0,0,0
121,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"Belgium","BE",6,1,2,0,0,0
122,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"France","FR",3,2,1,0,0,0
123,2002,9,"Employment, Social Affairs and Inclusion","EMPL",3,"Germany","DE",4,0,0,0,0,0
124,2002,9,"Employment, Social Affairs and Inclusion","EMPL",4,"Italy","IT",3,1,1,2,0,0
125,2002,9,"Employment, Social Affairs and Inclusion","EMPL",5,"Luxembourg","LU",5,1,0,0,0,0
126,2002,9,"Employment, Social Affairs and Inclusion","EMPL",6,"Netherlands","NL",2,0,0,0,0,0
127,2002,9,"Employment, Social Affairs and Inclusion","EMPL",7,"Denmark","DK",2,0,0,0,0,0
128,2002,9,"Employment, Social Affairs and Inclusion","EMPL",8,"Ireland","IE",3,0,0,0,0,0
129,2002,9,"Employment, Social Affairs and Inclusion","EMPL",9,"United Kingdom","UK",4,0,0,0,0,0
130,2002,9,"Employment, Social Affairs and Inclusion","EMPL",10,"Greece","EL",3,0,0,0,0,0
131,2002,9,"Employment, Social Affairs and Inclusion","EMPL",11,"Portugal","PT",2,0,0,0,0,0
132,2002,9,"Employment, Social Affairs and Inclusion","EMPL",12,"Spain","ES",1,1,0,0,0,0
133,2002,9,"Employment, Social Affairs and Inclusion","EMPL",13,"Austria","AT",3,6,0,1,0,0
134,2002,9,"Employment, Social Affairs and Inclusion","EMPL",14,"Finland","FI",1,0,0,0,0,0
135,2002,9,"Employment, Social Affairs and Inclusion","EMPL",15,"Sweden","SE",4,0,0,0,0,0
136,2002,10,"Energy","ENER",1,"Belgium","BE",2,0,0,0,0,0
137,2002,10,"Energy","ENER",2,"France","FR",0,0,0,0,0,0
138,2002,10,"Energy","ENER",3,"Germany","DE",1,1,0,0,0,0
139,2002,10,"Energy","ENER",4,"Italy","IT",2,0,0,0,0,0
140,2002,10,"Energy","ENER",5,"Luxembourg","LU",0,0,0,0,0,0
141,2002,10,"Energy","ENER",6,"Netherlands","NL",0,0,0,0,0,0
142,2002,10,"Energy","ENER",7,"Denmark","DK",0,0,0,0,0,0
143,2002,10,"Energy","ENER",8,"Ireland","IE",0,0,0,0,0,0
144,2002,10,"Energy","ENER",9,"United Kingdom","UK",4,1,0,0,0,0
145,2002,10,"Energy","ENER",10,"Greece","EL",0,0,0,0,0,0
146,2002,10,"Energy","ENER",11,"Portugal","PT",0,0,0,0,0,0
147,2002,10,"Energy","ENER",12,"Spain","ES",1,1,0,0,0,0
148,2002,10,"Energy","ENER",13,"Austria","AT",0,0,0,0,0,0
149,2002,10,"Energy","ENER",14,"Finland","FI",1,1,0,0,0,0
150,2002,10,"Energy","ENER",15,"Sweden","SE",1,0,0,0,0,0
151,2002,11,"Enterprise and Industry","ENTR",1,"Belgium","BE",10,2,1,0,0,0
152,2002,11,"Enterprise and Industry","ENTR",2,"France","FR",16,4,2,0,0,0
153,2002,11,"Enterprise and Industry","ENTR",3,"Germany","DE",17,4,2,0,0,0
154,2002,11,"Enterprise and Industry","ENTR",4,"Italy","IT",14,5,1,0,0,0
155,2002,11,"Enterprise and Industry","ENTR",5,"Luxembourg","LU",9,2,1,0,0,0
156,2002,11,"Enterprise and Industry","ENTR",6,"Netherlands","NL",15,1,0,0,0,0
157,2002,11,"Enterprise and Industry","ENTR",7,"Denmark","DK",10,0,0,0,0,0
158,2002,11,"Enterprise and Industry","ENTR",8,"Ireland","IE",10,3,1,0,0,0
159,2002,11,"Enterprise and Industry","ENTR",9,"United Kingdom","UK",9,1,0,0,0,0
160,2002,11,"Enterprise and Industry","ENTR",10,"Greece","EL",13,5,0,0,0,0
161,2002,11,"Enterprise and Industry","ENTR",11,"Portugal","PT",19,6,1,0,0,0
162,2002,11,"Enterprise and Industry","ENTR",12,"Spain","ES",11,1,0,0,0,0
163,2002,11,"Enterprise and Industry","ENTR",13,"Austria","AT",11,6,0,0,0,0
164,2002,11,"Enterprise and Industry","ENTR",14,"Finland","FI",9,0,0,0,0,0
165,2002,11,"Enterprise and Industry","ENTR",15,"Sweden","SE",12,1,0,0,0,0
166,2002,12,"Environment","ENV",1,"Belgium","BE",10,3,0,1,0,0
167,2002,12,"Environment","ENV",2,"France","FR",17,4,0,1,0,0
168,2002,12,"Environment","ENV",3,"Germany","DE",18,3,1,1,0,0
169,2002,12,"Environment","ENV",4,"Italy","IT",23,7,3,4,0,0
170,2002,12,"Environment","ENV",5,"Luxembourg","LU",6,2,0,4,0,0
171,2002,12,"Environment","ENV",6,"Netherlands","NL",7,0,1,1,0,0
172,2002,12,"Environment","ENV",7,"Denmark","DK",7,1,0,0,0,0
173,2002,12,"Environment","ENV",8,"Ireland","IE",26,7,0,1,1,0
174,2002,12,"Environment","ENV",9,"United Kingdom","UK",8,5,3,1,0,0
175,2002,12,"Environment","ENV",10,"Greece","EL",18,8,1,2,0,0
176,2002,12,"Environment","ENV",11,"Portugal","PT",12,3,1,0,0,0
177,2002,12,"Environment","ENV",12,"Spain","ES",39,11,1,0,0,0
178,2002,12,"Environment","ENV",13,"Austria","AT",8,8,6,0,0,0
179,2002,12,"Environment","ENV",14,"Finland","FI",10,4,1,0,0,0
180,2002,12,"Environment","ENV",15,"Sweden","SE",11,0,0,1,0,0
181,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"Belgium","BE",0,0,0,0,0,0
182,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"France","FR",0,0,0,0,0,0
183,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",3,"Germany","DE",0,0,0,0,0,0
184,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",4,"Italy","IT",0,0,0,0,0,0
185,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",5,"Luxembourg","LU",0,0,0,0,0,0
186,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",6,"Netherlands","NL",0,0,0,0,0,0
187,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",7,"Denmark","DK",0,0,0,0,0,0
188,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",8,"Ireland","IE",0,0,0,0,0,0
189,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",9,"United Kingdom","UK",0,0,0,0,0,0
190,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",10,"Greece","EL",0,0,0,0,0,0
191,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",11,"Portugal","PT",0,0,0,0,0,0
192,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",12,"Spain","ES",0,0,0,0,0,0
193,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",13,"Austria","AT",0,0,0,0,0,0
194,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",14,"Finland","FI",0,0,0,0,0,0
195,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",15,"Sweden","SE",0,0,0,0,0,0
196,2002,14,"Eurostat","EUROSTAT",1,"Belgium","BE",1,0,0,0,0,0
197,2002,14,"Eurostat","EUROSTAT",2,"France","FR",1,0,0,0,0,0
198,2002,14,"Eurostat","EUROSTAT",3,"Germany","DE",0,0,0,0,0,0
199,2002,14,"Eurostat","EUROSTAT",4,"Italy","IT",0,0,0,0,0,0
200,2002,14,"Eurostat","EUROSTAT",5,"Luxembourg","LU",1,0,0,0,0,0
201,2002,14,"Eurostat","EUROSTAT",6,"Netherlands","NL",0,0,0,0,0,0
202,2002,14,"Eurostat","EUROSTAT",7,"Denmark","DK",0,0,0,0,0,0
203,2002,14,"Eurostat","EUROSTAT",8,"Ireland","IE",1,0,0,0,0,0
204,2002,14,"Eurostat","EUROSTAT",9,"United Kingdom","UK",0,0,0,0,0,0
205,2002,14,"Eurostat","EUROSTAT",10,"Greece","EL",1,0,0,0,0,0
206,2002,14,"Eurostat","EUROSTAT",11,"Portugal","PT",0,0,0,0,0,0
207,2002,14,"Eurostat","EUROSTAT",12,"Spain","ES",1,0,0,0,0,0
208,2002,14,"Eurostat","EUROSTAT",13,"Austria","AT",0,0,0,0,0,0
209,2002,14,"Eurostat","EUROSTAT",14,"Finland","FI",0,0,0,0,0,0
210,2002,14,"Eurostat","EUROSTAT",15,"Sweden","SE",1,0,0,0,0,0
211,2002,15,"External Relations","RELEX",1,"Belgium","BE",0,0,0,0,0,0
212,2002,15,"External Relations","RELEX",2,"France","FR",0,0,0,0,0,0
213,2002,15,"External Relations","RELEX",3,"Germany","DE",0,0,0,0,0,0
214,2002,15,"External Relations","RELEX",4,"Italy","IT",0,0,0,0,0,0
215,2002,15,"External Relations","RELEX",5,"Luxembourg","LU",0,0,0,0,0,0
216,2002,15,"External Relations","RELEX",6,"Netherlands","NL",0,0,0,0,0,0
217,2002,15,"External Relations","RELEX",7,"Denmark","DK",0,0,0,0,0,0
218,2002,15,"External Relations","RELEX",8,"Ireland","IE",0,0,0,0,0,0
219,2002,15,"External Relations","RELEX",9,"United Kingdom","UK",0,0,0,0,0,0
220,2002,15,"External Relations","RELEX",10,"Greece","EL",0,0,0,0,0,0
221,2002,15,"External Relations","RELEX",11,"Portugal","PT",0,0,0,0,0,0
222,2002,15,"External Relations","RELEX",12,"Spain","ES",0,0,0,0,0,0
223,2002,15,"External Relations","RELEX",13,"Austria","AT",0,0,0,0,0,0
224,2002,15,"External Relations","RELEX",14,"Finland","FI",0,0,0,0,0,0
225,2002,15,"External Relations","RELEX",15,"Sweden","SE",0,0,0,0,0,0
226,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"Belgium","BE",0,0,0,0,0,0
227,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"France","FR",0,0,0,0,0,0
228,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",3,"Germany","DE",0,0,0,0,0,0
229,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",4,"Italy","IT",0,0,0,0,0,0
230,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",5,"Luxembourg","LU",0,0,0,0,0,0
231,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",6,"Netherlands","NL",0,0,0,0,0,0
232,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",7,"Denmark","DK",0,0,0,0,0,0
233,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",8,"Ireland","IE",0,0,0,0,0,0
234,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",9,"United Kingdom","UK",0,0,0,0,0,0
235,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",10,"Greece","EL",0,0,0,0,0,0
236,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",11,"Portugal","PT",0,0,0,0,0,0
237,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",12,"Spain","ES",0,0,0,0,0,0
238,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",13,"Austria","AT",0,0,0,0,0,0
239,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",14,"Finland","FI",0,0,0,0,0,0
240,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",15,"Sweden","SE",0,0,0,0,0,0
241,2002,17,"Health and Consumers","SANCO",1,"Belgium","BE",6,3,0,0,0,0
242,2002,17,"Health and Consumers","SANCO",2,"France","FR",18,5,0,1,1,1
243,2002,17,"Health and Consumers","SANCO",3,"Germany","DE",21,8,1,0,0,0
244,2002,17,"Health and Consumers","SANCO",4,"Italy","IT",20,8,1,1,0,0
245,2002,17,"Health and Consumers","SANCO",5,"Luxembourg","LU",12,2,0,0,0,0
246,2002,17,"Health and Consumers","SANCO",6,"Netherlands","NL",7,1,0,0,0,0
247,2002,17,"Health and Consumers","SANCO",7,"Denmark","DK",8,1,0,0,0,0
248,2002,17,"Health and Consumers","SANCO",8,"Ireland","IE",18,3,0,0,0,0
249,2002,17,"Health and Consumers","SANCO",9,"United Kingdom","UK",12,3,0,0,0,0
250,2002,17,"Health and Consumers","SANCO",10,"Greece","EL",18,8,1,3,2,0
251,2002,17,"Health and Consumers","SANCO",11,"Portugal","PT",22,5,1,0,0,0
252,2002,17,"Health and Consumers","SANCO",12,"Spain","ES",6,2,1,0,0,0
253,2002,17,"Health and Consumers","SANCO",13,"Austria","AT",20,10,7,0,0,0
254,2002,17,"Health and Consumers","SANCO",14,"Finland","FI",19,0,0,0,0,0
255,2002,17,"Health and Consumers","SANCO",15,"Sweden","SE",10,0,0,0,0,0
256,2002,18,"Health and Food Safety","SANTE",1,"Belgium","BE",0,0,0,0,0,0
257,2002,18,"Health and Food Safety","SANTE",2,"France","FR",0,0,0,0,0,0
258,2002,18,"Health and Food Safety","SANTE",3,"Germany","DE",0,0,0,0,0,0
259,2002,18,"Health and Food Safety","SANTE",4,"Italy","IT",0,0,0,0,0,0
260,2002,18,"Health and Food Safety","SANTE",5,"Luxembourg","LU",0,0,0,0,0,0
261,2002,18,"Health and Food Safety","SANTE",6,"Netherlands","NL",0,0,0,0,0,0
262,2002,18,"Health and Food Safety","SANTE",7,"Denmark","DK",0,0,0,0,0,0
263,2002,18,"Health and Food Safety","SANTE",8,"Ireland","IE",0,0,0,0,0,0
264,2002,18,"Health and Food Safety","SANTE",9,"United Kingdom","UK",0,0,0,0,0,0
265,2002,18,"Health and Food Safety","SANTE",10,"Greece","EL",0,0,0,0,0,0
266,2002,18,"Health and Food Safety","SANTE",11,"Portugal","PT",0,0,0,0,0,0
267,2002,18,"Health and Food Safety","SANTE",12,"Spain","ES",0,0,0,0,0,0
268,2002,18,"Health and Food Safety","SANTE",13,"Austria","AT",0,0,0,0,0,0
269,2002,18,"Health and Food Safety","SANTE",14,"Finland","FI",0,0,0,0,0,0
270,2002,18,"Health and Food Safety","SANTE",15,"Sweden","SE",0,0,0,0,0,0
271,2002,19,"Human Resources and Security","HR",1,"Belgium","BE",0,0,0,0,0,0
272,2002,19,"Human Resources and Security","HR",2,"France","FR",0,0,0,0,0,0
273,2002,19,"Human Resources and Security","HR",3,"Germany","DE",0,0,0,0,0,0
274,2002,19,"Human Resources and Security","HR",4,"Italy","IT",0,0,0,0,0,0
275,2002,19,"Human Resources and Security","HR",5,"Luxembourg","LU",0,0,0,0,0,0
276,2002,19,"Human Resources and Security","HR",6,"Netherlands","NL",0,0,0,0,0,0
277,2002,19,"Human Resources and Security","HR",7,"Denmark","DK",0,0,0,0,0,0
278,2002,19,"Human Resources and Security","HR",8,"Ireland","IE",0,0,0,0,0,0
279,2002,19,"Human Resources and Security","HR",9,"United Kingdom","UK",0,0,0,0,0,0
280,2002,19,"Human Resources and Security","HR",10,"Greece","EL",0,0,0,0,0,0
281,2002,19,"Human Resources and Security","HR",11,"Portugal","PT",0,0,0,0,0,0
282,2002,19,"Human Resources and Security","HR",12,"Spain","ES",0,0,0,0,0,0
283,2002,19,"Human Resources and Security","HR",13,"Austria","AT",0,0,0,0,0,0
284,2002,19,"Human Resources and Security","HR",14,"Finland","FI",0,0,0,0,0,0
285,2002,19,"Human Resources and Security","HR",15,"Sweden","SE",0,0,0,0,0,0
286,2002,20,"Internal Market and Services","MARKT",1,"Belgium","BE",10,5,0,0,0,0
287,2002,20,"Internal Market and Services","MARKT",2,"France","FR",11,7,1,1,1,0
288,2002,20,"Internal Market and Services","MARKT",3,"Germany","DE",13,2,2,1,0,0
289,2002,20,"Internal Market and Services","MARKT",4,"Italy","IT",26,6,0,1,1,0
290,2002,20,"Internal Market and Services","MARKT",5,"Luxembourg","LU",3,4,1,0,0,0
291,2002,20,"Internal Market and Services","MARKT",6,"Netherlands","NL",11,2,0,0,0,0
292,2002,20,"Internal Market and Services","MARKT",7,"Denmark","DK",5,0,0,0,0,0
293,2002,20,"Internal Market and Services","MARKT",8,"Ireland","IE",8,4,0,1,0,0
294,2002,20,"Internal Market and Services","MARKT",9,"United Kingdom","UK",9,1,0,0,0,0
295,2002,20,"Internal Market and Services","MARKT",10,"Greece","EL",10,6,2,0,0,0
296,2002,20,"Internal Market and Services","MARKT",11,"Portugal","PT",9,2,1,0,0,0
297,2002,20,"Internal Market and Services","MARKT",12,"Spain","ES",16,3,4,1,0,0
298,2002,20,"Internal Market and Services","MARKT",13,"Austria","AT",11,7,6,0,0,0
299,2002,20,"Internal Market and Services","MARKT",14,"Finland","FI",6,3,0,0,0,0
300,2002,20,"Internal Market and Services","MARKT",15,"Sweden","SE",6,1,0,0,0,0
301,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"Belgium","BE",0,0,0,0,0,0
