"key_ID","year","member_state_ID","member_state","member_state_code","case_type_ID","case_type","count_cases"
109,2004,25,"Slovenia","SI",1,"noncommunication",53
110,2004,25,"Slovenia","SI",2,"nonconformity",3
111,2005,1,"Belgium","BE",1,"noncommunication",40
112,2005,1,"Belgium","BE",2,"nonconformity",22
113,2005,2,"France","FR",1,"noncommunication",35
114,2005,2,"France","FR",2,"nonconformity",40
115,2005,3,"Germany","DE",1,"noncommunication",26
116,2005,3,"Germany","DE",2,"nonconformity",25
117,2005,4,"Italy","IT",1,"noncommunication",67
118,2005,4,"Italy","IT",2,"nonconformity",57
119,2005,5,"Luxembourg","LU",1,"noncommunication",61
120,2005,5,"Luxembourg","LU",2,"nonconformity",13
121,2005,6,"Netherlands","NL",1,"noncommunication",33
122,2005,6,"Netherlands","NL",2,"nonconformity",23
123,2005,7,"Denmark","DK",1,"noncommunication",27
124,2005,7,"Denmark","DK",2,"nonconformity",8
125,2005,8,"Ireland","IE",1,"noncommunication",42
126,2005,8,"Ireland","IE",2,"nonconformity",13
127,2005,9,"United Kingdom","UK",1,"noncommunication",38
128,2005,9,"United Kingdom","UK",2,"nonconformity",17
129,2005,10,"Greece","EL",1,"noncommunication",60
130,2005,10,"Greece","EL",2,"nonconformity",39
131,2005,11,"Portugal","PT",1,"noncommunication",59
132,2005,11,"Portugal","PT",2,"nonconformity",18
133,2005,12,"Spain","ES",1,"noncommunication",31
134,2005,12,"Spain","ES",2,"nonconformity",32
135,2005,13,"Austria","AT",1,"noncommunication",41
136,2005,13,"Austria","AT",2,"nonconformity",22
137,2005,14,"Finland","FI",1,"noncommunication",48
138,2005,14,"Finland","FI",2,"nonconformity",7
139,2005,15,"Sweden","SE",1,"noncommunication",34
140,2005,15,"Sweden","SE",2,"nonconformity",13
141,2005,16,"Cyprus","CY",1,"noncommunication",66
142,2005,16,"Cyprus","CY",2,"nonconformity",20
143,2005,17,"Czech Republic","CZ",1,"noncommunication",54
144,2005,17,"Czech Republic","CZ",2,"nonconformity",21
145,2005,18,"Estonia","EE",1,"noncommunication",50
146,2005,18,"Estonia","EE",2,"nonconformity",10
147,2005,19,"Hungary","HU",1,"noncommunication",36
148,2005,19,"Hungary","HU",2,"nonconformity",22
149,2005,20,"Latvia","LV",1,"noncommunication",45
150,2005,20,"Latvia","LV",2,"nonconformity",14
151,2005,21,"Lithuania","LT",1,"noncommunication",17
152,2005,21,"Lithuania","LT",2,"nonconformity",11
153,2005,22,"Malta","MT",1,"noncommunication",39
154,2005,22,"Malta","MT",2,"nonconformity",21
155,2005,23,"Poland","PL",1,"noncommunication",35
156,2005,23,"Poland","PL",2,"nonconformity",35
157,2005,24,"Slovakia","SK",1,"noncommunication",37
158,2005,24,"Slovakia","SK",2,"nonconformity",17
159,2005,25,"Slovenia","SI",1,"noncommunication",48
160,2005,25,"Slovenia","SI",2,"nonconformity",8
161,2006,1,"Belgium","BE",1,"noncommunication",39
162,2006,1,"Belgium","BE",2,"nonconformity",21
163,2006,2,"France","FR",1,"noncommunication",43
164,2006,2,"France","FR",2,"nonconformity",36
165,2006,3,"Germany","DE",1,"noncommunication",24
166,2006,3,"Germany","DE",2,"nonconformity",33
167,2006,4,"Italy","IT",1,"noncommunication",52
168,2006,4,"Italy","IT",2,"nonconformity",67
169,2006,5,"Luxembourg","LU",1,"noncommunication",41
170,2006,5,"Luxembourg","LU",2,"nonconformity",21
171,2006,6,"Netherlands","NL",1,"noncommunication",23
172,2006,6,"Netherlands","NL",2,"nonconformity",18
173,2006,7,"Denmark","DK",1,"noncommunication",20
174,2006,7,"Denmark","DK",2,"nonconformity",18
175,2006,8,"Ireland","IE",1,"noncommunication",25
176,2006,8,"Ireland","IE",2,"nonconformity",24
177,2006,9,"United Kingdom","UK",1,"noncommunication",39
178,2006,9,"United Kingdom","UK",2,"nonconformity",28
179,2006,10,"Greece","EL",1,"noncommunication",60
180,2006,10,"Greece","EL",2,"nonconformity",34
181,2006,11,"Portugal","PT",1,"noncommunication",60
182,2006,11,"Portugal","PT",2,"nonconformity",25
183,2006,12,"Spain","ES",1,"noncommunication",30
184,2006,12,"Spain","ES",2,"nonconformity",40
185,2006,13,"Austria","AT",1,"noncommunication",34
186,2006,13,"Austria","AT",2,"nonconformity",25
187,2006,14,"Finland","FI",1,"noncommunication",37
188,2006,14,"Finland","FI",2,"nonconformity",19
189,2006,15,"Sweden","SE",1,"noncommunication",36
190,2006,15,"Sweden","SE",2,"nonconformity",19
191,2006,16,"Cyprus","CY",1,"noncommunication",29
192,2006,16,"Cyprus","CY",2,"nonconformity",29
193,2006,17,"Czech Republic","CZ",1,"noncommunication",44
194,2006,17,"Czech Republic","CZ",2,"nonconformity",25
195,2006,18,"Estonia","EE",1,"noncommunication",38
196,2006,18,"Estonia","EE",2,"nonconformity",13
197,2006,19,"Hungary","HU",1,"noncommunication",35
198,2006,19,"Hungary","HU",2,"nonconformity",18
199,2006,20,"Latvia","LV",1,"noncommunication",35
200,2006,20,"Latvia","LV",2,"nonconformity",16
201,2006,21,"Lithuania","LT",1,"noncommunication",19
202,2006,21,"Lithuania","LT",2,"nonconformity",16
203,2006,22,"Malta","MT",1,"noncommunication",57
204,2006,22,"Malta","MT",2,"nonconformity",22
205,2006,23,"Poland","PL",1,"noncommunication",30
206,2006,23,"Poland","PL",2,"nonconformity",39
207,2006,24,"Slovakia","SK",1,"noncommunication",23
208,2006,24,"Slovakia","SK",2,"nonconformity",17
209,2006,25,"Slovenia","SI",1,"noncommunication",31
210,2006,25,"Slovenia","SI",2,"nonconformity",21
211,2007,1,"Belgium","BE",1,"noncommunication",30
212,2007,1,"Belgium","BE",2,"nonconformity",33
213,2007,2,"France","FR",1,"noncommunication",42
214,2007,2,"France","FR",2,"nonconformity",31
215,2007,3,"Germany","DE",1,"noncommunication",22
216,2007,3,"Germany","DE",2,"nonconformity",37
217,2007,4,"Italy","IT",1,"noncommunication",60
218,2007,4,"Italy","IT",2,"nonconformity",46
219,2007,5,"Luxembourg","LU",1,"noncommunication",40
220,2007,5,"Luxembourg","LU",2,"nonconformity",13
221,2007,6,"Netherlands","NL",1,"noncommunication",25
222,2007,6,"Netherlands","NL",2,"nonconformity",17
223,2007,7,"Denmark","DK",1,"noncommunication",24
224,2007,7,"Denmark","DK",2,"nonconformity",9
225,2007,8,"Ireland","IE",1,"noncommunication",29
226,2007,8,"Ireland","IE",2,"nonconformity",26
227,2007,9,"United Kingdom","UK",1,"noncommunication",44
228,2007,9,"United Kingdom","UK",2,"nonconformity",31
229,2007,10,"Greece","EL",1,"noncommunication",46
230,2007,10,"Greece","EL",2,"nonconformity",44
231,2007,11,"Portugal","PT",1,"noncommunication",62
232,2007,11,"Portugal","PT",2,"nonconformity",24
233,2007,12,"Spain","ES",1,"noncommunication",26
234,2007,12,"Spain","ES",2,"nonconformity",30
235,2007,13,"Austria","AT",1,"noncommunication",36
236,2007,13,"Austria","AT",2,"nonconformity",20
237,2007,14,"Finland","FI",1,"noncommunication",52
238,2007,14,"Finland","FI",2,"nonconformity",13
239,2007,15,"Sweden","SE",1,"noncommunication",41
240,2007,15,"Sweden","SE",2,"nonconformity",13
241,2007,16,"Cyprus","CY",1,"noncommunication",31
242,2007,16,"Cyprus","CY",2,"nonconformity",19
243,2007,17,"Czech Republic","CZ",1,"noncommunication",42
244,2007,17,"Czech Republic","CZ",2,"nonconformity",18
245,2007,18,"Estonia","EE",1,"noncommunication",34
246,2007,18,"Estonia","EE",2,"nonconformity",15
247,2007,19,"Hungary","HU",1,"noncommunication",40
248,2007,19,"Hungary","HU",2,"nonconformity",21
249,2007,20,"Latvia","LV",1,"noncommunication",34
250,2007,20,"Latvia","LV",2,"nonconformity",23
251,2007,21,"Lithuania","LT",1,"noncommunication",24
252,2007,21,"Lithuania","LT",2,"nonconformity",13
253,2007,22,"Malta","MT",1,"noncommunication",44
254,2007,22,"Malta","MT",2,"nonconformity",21
255,2007,23,"Poland","PL",1,"noncommunication",46
256,2007,23,"Poland","PL",2,"nonconformity",28
257,2007,24,"Slovakia","SK",1,"noncommunication",29
258,2007,24,"Slovakia","SK",2,"nonconformity",19
259,2007,25,"Slovenia","SI",1,"noncommunication",40
260,2007,25,"Slovenia","SI",2,"nonconformity",17
261,2007,26,"Bulgaria","BG",1,"noncommunication",70
262,2007,26,"Bulgaria","BG",2,"nonconformity",15
263,2007,27,"Romania","RO",1,"noncommunication",186
264,2007,27,"Romania","RO",2,"nonconformity",10
265,2008,1,"Belgium","BE",1,"noncommunication",32
266,2008,1,"Belgium","BE",2,"nonconformity",47
267,2008,2,"France","FR",1,"noncommunication",33
268,2008,2,"France","FR",2,"nonconformity",23
269,2008,3,"Germany","DE",1,"noncommunication",22
270,2008,3,"Germany","DE",2,"nonconformity",24
271,2008,4,"Italy","IT",1,"noncommunication",40
272,2008,4,"Italy","IT",2,"nonconformity",36
273,2008,5,"Luxembourg","LU",1,"noncommunication",31
274,2008,5,"Luxembourg","LU",2,"nonconformity",13
275,2008,6,"Netherlands","NL",1,"noncommunication",15
276,2008,6,"Netherlands","NL",2,"nonconformity",20
277,2008,7,"Denmark","DK",1,"noncommunication",22
278,2008,7,"Denmark","DK",2,"nonconformity",14
279,2008,8,"Ireland","IE",1,"noncommunication",34
280,2008,8,"Ireland","IE",2,"nonconformity",18
281,2008,9,"United Kingdom","UK",1,"noncommunication",41
282,2008,9,"United Kingdom","UK",2,"nonconformity",19
283,2008,10,"Greece","EL",1,"noncommunication",38
284,2008,10,"Greece","EL",2,"nonconformity",28
285,2008,11,"Portugal","PT",1,"noncommunication",46
286,2008,11,"Portugal","PT",2,"nonconformity",19
287,2008,12,"Spain","ES",1,"noncommunication",32
288,2008,12,"Spain","ES",2,"nonconformity",31
289,2008,13,"Austria","AT",1,"noncommunication",31
290,2008,13,"Austria","AT",2,"nonconformity",16
291,2008,14,"Finland","FI",1,"noncommunication",39
292,2008,14,"Finland","FI",2,"nonconformity",8
293,2008,15,"Sweden","SE",1,"noncommunication",23
294,2008,15,"Sweden","SE",2,"nonconformity",16
295,2008,16,"Cyprus","CY",1,"noncommunication",48
296,2008,16,"Cyprus","CY",2,"nonconformity",11
297,2008,17,"Czech Republic","CZ",1,"noncommunication",46
298,2008,17,"Czech Republic","CZ",2,"nonconformity",15
299,2008,18,"Estonia","EE",1,"noncommunication",21
300,2008,18,"Estonia","EE",2,"nonconformity",9
301,2008,19,"Hungary","HU",1,"noncommunication",38
302,2008,19,"Hungary","HU",2,"nonconformity",13
303,2008,20,"Latvia","LV",1,"noncommunication",19
304,2008,20,"Latvia","LV",2,"nonconformity",11
305,2008,21,"Lithuania","LT",1,"noncommunication",17
306,2008,21,"Lithuania","LT",2,"nonconformity",8
307,2008,22,"Malta","MT",1,"noncommunication",27
308,2008,22,"Malta","MT",2,"nonconformity",13
309,2008,23,"Poland","PL",1,"noncommunication",38
310,2008,23,"Poland","PL",2,"nonconformity",17
311,2008,24,"Slovakia","SK",1,"noncommunication",18
312,2008,24,"Slovakia","SK",2,"nonconformity",19
313,2008,25,"Slovenia","SI",1,"noncommunication",23
314,2008,25,"Slovenia","SI",2,"nonconformity",10
315,2008,26,"Bulgaria","BG",1,"noncommunication",17
316,2008,26,"Bulgaria","BG",2,"nonconformity",28
317,2008,27,"Romania","RO",1,"noncommunication",25
318,2008,27,"Romania","RO",2,"nonconformity",15
319,2009,1,"Belgium","BE",1,"noncommunication",18
320,2009,1,"Belgium","BE",2,"nonconformity",36
321,2009,2,"France","FR",1,"noncommunication",22
322,2009,2,"France","FR",2,"nonconformity",23
323,2009,3,"Germany","DE",1,"noncommunication",13
324,2009,3,"Germany","DE",2,"nonconformity",23
325,2009,4,"Italy","IT",1,"noncommunication",32
326,2009,4,"Italy","IT",2,"nonconformity",30
327,2009,5,"Luxembourg","LU",1,"noncommunication",26
328,2009,5,"Luxembourg","LU",2,"nonconformity",14
329,2009,6,"Netherlands","NL",1,"noncommunication",10
330,2009,6,"Netherlands","NL",2,"nonconformity",13
331,2009,7,"Denmark","DK",1,"noncommunication",11
332,2009,7,"Denmark","DK",2,"nonconformity",9
333,2009,8,"Ireland","IE",1,"noncommunication",19
334,2009,8,"Ireland","IE",2,"nonconformity",9
335,2009,9,"United Kingdom","UK",1,"noncommunication",25
336,2009,9,"United Kingdom","UK",2,"nonconformity",22
337,2009,10,"Greece","EL",1,"noncommunication",30
338,2009,10,"Greece","EL",2,"nonconformity",37
339,2009,11,"Portugal","PT",1,"noncommunication",27
340,2009,11,"Portugal","PT",2,"nonconformity",19
341,2009,12,"Spain","ES",1,"noncommunication",18
342,2009,12,"Spain","ES",2,"nonconformity",30
343,2009,13,"Austria","AT",1,"noncommunication",27
344,2009,13,"Austria","AT",2,"nonconformity",13
345,2009,14,"Finland","FI",1,"noncommunication",28
346,2009,14,"Finland","FI",2,"nonconformity",5
347,2009,15,"Sweden","SE",1,"noncommunication",15
348,2009,15,"Sweden","SE",2,"nonconformity",10
349,2009,16,"Cyprus","CY",1,"noncommunication",27
350,2009,16,"Cyprus","CY",2,"nonconformity",6
351,2009,17,"Czech Republic","CZ",1,"noncommunication",30
352,2009,17,"Czech Republic","CZ",2,"nonconformity",11
353,2009,18,"Estonia","EE",1,"noncommunication",18
354,2009,18,"Estonia","EE",2,"nonconformity",3
355,2009,19,"Hungary","HU",1,"noncommunication",27
356,2009,19,"Hungary","HU",2,"nonconformity",16
357,2009,20,"Latvia","LV",1,"noncommunication",16
358,2009,20,"Latvia","LV",2,"nonconformity",8
359,2009,21,"Lithuania","LT",1,"noncommunication",14
360,2009,21,"Lithuania","LT",2,"nonconformity",7
361,2009,22,"Malta","MT",1,"noncommunication",16
362,2009,22,"Malta","MT",2,"nonconformity",11
363,2009,23,"Poland","PL",1,"noncommunication",32
364,2009,23,"Poland","PL",2,"nonconformity",15
365,2009,24,"Slovakia","SK",1,"noncommunication",14
366,2009,24,"Slovakia","SK",2,"nonconformity",13
367,2009,25,"Slovenia","SI",1,"noncommunication",15
368,2009,25,"Slovenia","SI",2,"nonconformity",7
369,2009,26,"Bulgaria","BG",1,"noncommunication",9
370,2009,26,"Bulgaria","BG",2,"nonconformity",22
371,2009,27,"Romania","RO",1,"noncommunication",10
372,2009,27,"Romania","RO",2,"nonconformity",23
373,2010,1,"Belgium","BE",1,"noncommunication",14
374,2010,1,"Belgium","BE",2,"nonconformity",13
375,2010,2,"France","FR",1,"noncommunication",28
376,2010,2,"France","FR",2,"nonconformity",13
377,2010,3,"Germany","DE",1,"noncommunication",21
378,2010,3,"Germany","DE",2,"nonconformity",6
379,2010,4,"Italy","IT",1,"noncommunication",55
380,2010,4,"Italy","IT",2,"nonconformity",13
381,2010,5,"Luxembourg","LU",1,"noncommunication",33
382,2010,5,"Luxembourg","LU",2,"nonconformity",9
383,2010,6,"Netherlands","NL",1,"noncommunication",18
384,2010,6,"Netherlands","NL",2,"nonconformity",9
385,2010,7,"Denmark","DK",1,"noncommunication",14
386,2010,7,"Denmark","DK",2,"nonconformity",5
387,2010,8,"Ireland","IE",1,"noncommunication",31
388,2010,8,"Ireland","IE",2,"nonconformity",6
389,2010,9,"United Kingdom","UK",1,"noncommunication",35
390,2010,9,"United Kingdom","UK",2,"nonconformity",10
391,2010,10,"Greece","EL",1,"noncommunication",49
392,2010,10,"Greece","EL",2,"nonconformity",23
393,2010,11,"Portugal","PT",1,"noncommunication",41
394,2010,11,"Portugal","PT",2,"nonconformity",11
395,2010,12,"Spain","ES",1,"noncommunication",44
396,2010,12,"Spain","ES",2,"nonconformity",16
397,2010,13,"Austria","AT",1,"noncommunication",29
398,2010,13,"Austria","AT",2,"nonconformity",6
399,2010,14,"Finland","FI",1,"noncommunication",49
400,2010,14,"Finland","FI",2,"nonconformity",2
401,2010,15,"Sweden","SE",1,"noncommunication",21
402,2010,15,"Sweden","SE",2,"nonconformity",5
403,2010,16,"Cyprus","CY",1,"noncommunication",44
404,2010,16,"Cyprus","CY",2,"nonconformity",10
405,2010,17,"Czech Republic","CZ",1,"noncommunication",41
406,2010,17,"Czech Republic","CZ",2,"nonconformity",2
407,2010,18,"Estonia","EE",1,"noncommunication",21
408,2010,18,"Estonia","EE",2,"nonconformity",5
409,2010,19,"Hungary","HU",1,"noncommunication",57
410,2010,19,"Hungary","HU",2,"nonconformity",6
411,2010,20,"Latvia","LV",1,"noncommunication",18
412,2010,20,"Latvia","LV",2,"nonconformity",8
413,2010,21,"Lithuania","LT",1,"noncommunication",15
414,2010,21,"Lithuania","LT",2,"nonconformity",2
415,2010,22,"Malta","MT",1,"noncommunication",19
416,2010,22,"Malta","MT",2,"nonconformity",4
417,2010,23,"Poland","PL",1,"noncommunication",39
418,2010,23,"Poland","PL",2,"nonconformity",15
419,2010,24,"Slovakia","SK",1,"noncommunication",14
420,2010,24,"Slovakia","SK",2,"nonconformity",9
421,2010,25,"Slovenia","SI",1,"noncommunication",30
422,2010,25,"Slovenia","SI",2,"nonconformity",6
423,2010,26,"Bulgaria","BG",1,"noncommunication",29
424,2010,26,"Bulgaria","BG",2,"nonconformity",6
425,2010,27,"Romania","RO",1,"noncommunication",46
426,2010,27,"Romania","RO",2,"nonconformity",13
427,2011,1,"Belgium","BE",1,"noncommunication",45
428,2011,1,"Belgium","BE",2,"nonconformity",5
429,2011,2,"France","FR",1,"noncommunication",42
430,2011,2,"France","FR",2,"nonconformity",11
431,2011,3,"Germany","DE",1,"noncommunication",31
432,2011,3,"Germany","DE",2,"nonconformity",10
433,2011,4,"Italy","IT",1,"noncommunication",73
434,2011,4,"Italy","IT",2,"nonconformity",30
435,2011,5,"Luxembourg","LU",1,"noncommunication",44
436,2011,5,"Luxembourg","LU",2,"nonconformity",10
437,2011,6,"Netherlands","NL",1,"noncommunication",32
438,2011,6,"Netherlands","NL",2,"nonconformity",5
439,2011,7,"Denmark","DK",1,"noncommunication",28
440,2011,7,"Denmark","DK",2,"nonconformity",5
441,2011,8,"Ireland","IE",1,"noncommunication",28
442,2011,8,"Ireland","IE",2,"nonconformity",5
443,2011,9,"United Kingdom","UK",1,"noncommunication",57
444,2011,9,"United Kingdom","UK",2,"nonconformity",8
445,2011,10,"Greece","EL",1,"noncommunication",55
446,2011,10,"Greece","EL",2,"nonconformity",21
447,2011,11,"Portugal","PT",1,"noncommunication",50
448,2011,11,"Portugal","PT",2,"nonconformity",17
449,2011,12,"Spain","ES",1,"noncommunication",43
450,2011,12,"Spain","ES",2,"nonconformity",15
451,2011,13,"Austria","AT",1,"noncommunication",46
452,2011,13,"Austria","AT",2,"nonconformity",6
453,2011,14,"Finland","FI",1,"noncommunication",62
454,2011,14,"Finland","FI",2,"nonconformity",6
455,2011,15,"Sweden","SE",1,"noncommunication",31
456,2011,15,"Sweden","SE",2,"nonconformity",4
457,2011,16,"Cyprus","CY",1,"noncommunication",63
458,2011,16,"Cyprus","CY",2,"nonconformity",7
459,2011,17,"Czech Republic","CZ",1,"noncommunication",54
460,2011,17,"Czech Republic","CZ",2,"nonconformity",8
461,2011,18,"Estonia","EE",1,"noncommunication",28
462,2011,18,"Estonia","EE",2,"nonconformity",4
463,2011,19,"Hungary","HU",1,"noncommunication",70
464,2011,19,"Hungary","HU",2,"nonconformity",10
465,2011,20,"Latvia","LV",1,"noncommunication",24
466,2011,20,"Latvia","LV",2,"nonconformity",3
467,2011,21,"Lithuania","LT",1,"noncommunication",34
468,2011,21,"Lithuania","LT",2,"nonconformity",6
469,2011,22,"Malta","MT",1,"noncommunication",40
470,2011,22,"Malta","MT",2,"nonconformity",10
471,2011,23,"Poland","PL",1,"noncommunication",44
472,2011,23,"Poland","PL",2,"nonconformity",19
473,2011,24,"Slovakia","SK",1,"noncommunication",36
474,2011,24,"Slovakia","SK",2,"nonconformity",6
475,2011,25,"Slovenia","SI",1,"noncommunication",43
476,2011,25,"Slovenia","SI",2,"nonconformity",10
477,2011,26,"Bulgaria","BG",1,"noncommunication",36
478,2011,26,"Bulgaria","BG",2,"nonconformity",6
479,2011,27,"Romania","RO",1,"noncommunication",46
480,2011,27,"Romania","RO",2,"nonconformity",7
481,2012,1,"Belgium","BE",1,"noncommunication",21
482,2012,1,"Belgium","BE",2,"nonconformity",11
483,2012,2,"France","FR",1,"noncommunication",14
484,2012,2,"France","FR",2,"nonconformity",20
485,2012,3,"Germany","DE",1,"noncommunication",12
486,2012,3,"Germany","DE",2,"nonconformity",15
487,2012,4,"Italy","IT",1,"noncommunication",36
488,2012,4,"Italy","IT",2,"nonconformity",19
489,2012,5,"Luxembourg","LU",1,"noncommunication",12
490,2012,5,"Luxembourg","LU",2,"nonconformity",7
491,2012,6,"Netherlands","NL",1,"noncommunication",6
492,2012,6,"Netherlands","NL",2,"nonconformity",9
493,2012,7,"Denmark","DK",1,"noncommunication",17
494,2012,7,"Denmark","DK",2,"nonconformity",6
495,2012,8,"Ireland","IE",1,"noncommunication",8
496,2012,8,"Ireland","IE",2,"nonconformity",4
497,2012,9,"United Kingdom","UK",1,"noncommunication",24
498,2012,9,"United Kingdom","UK",2,"nonconformity",9
499,2012,10,"Greece","EL",1,"noncommunication",22
500,2012,10,"Greece","EL",2,"nonconformity",14
501,2012,11,"Portugal","PT",1,"noncommunication",34
502,2012,11,"Portugal","PT",2,"nonconformity",5
503,2012,12,"Spain","ES",1,"noncommunication",16
504,2012,12,"Spain","ES",2,"nonconformity",16
505,2012,13,"Austria","AT",1,"noncommunication",24
506,2012,13,"Austria","AT",2,"nonconformity",10
507,2012,14,"Finland","FI",1,"noncommunication",21
508,2012,14,"Finland","FI",2,"nonconformity",7
509,2012,15,"Sweden","SE",1,"noncommunication",6
510,2012,15,"Sweden","SE",2,"nonconformity",4
511,2012,16,"Cyprus","CY",1,"noncommunication",24
512,2012,16,"Cyprus","CY",2,"nonconformity",3
513,2012,17,"Czech Republic","CZ",1,"noncommunication",13
514,2012,17,"Czech Republic","CZ",2,"nonconformity",9
515,2012,18,"Estonia","EE",1,"noncommunication",5
