"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","case_type_ID","case_type","decision_stage_ID","decision_stage","count_decisions"
31,2002,3,"Climate Action","CLIMA",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
32,2002,3,"Climate Action","CLIMA",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
33,2002,3,"Climate Action","CLIMA",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
34,2002,3,"Climate Action","CLIMA",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
35,2002,3,"Climate Action","CLIMA",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
36,2002,3,"Climate Action","CLIMA",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
37,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
38,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
39,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
40,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
41,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
42,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
43,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",1,"Letter of formal notice (Art. 258)",20
44,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",2,"Reasoned opinion (Art. 258)",7
45,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",3,"Referral to the Court (Art. 258)",2
46,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
47,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
48,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
49,2002,5,"Competition","COMP",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
50,2002,5,"Competition","COMP",1,"noncommunication",2,"Reasoned opinion (Art. 258)",1
51,2002,5,"Competition","COMP",1,"noncommunication",3,"Referral to the Court (Art. 258)",1
52,2002,5,"Competition","COMP",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
53,2002,5,"Competition","COMP",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
54,2002,5,"Competition","COMP",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
55,2002,5,"Competition","COMP",2,"nonconformity",1,"Letter of formal notice (Art. 258)",4
56,2002,5,"Competition","COMP",2,"nonconformity",2,"Reasoned opinion (Art. 258)",1
57,2002,5,"Competition","COMP",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
58,2002,5,"Competition","COMP",2,"nonconformity",4,"Letter of formal notice (Art. 260)",1
59,2002,5,"Competition","COMP",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
60,2002,5,"Competition","COMP",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
61,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
62,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
63,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
64,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
65,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
66,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
67,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
68,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
69,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
70,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
71,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
72,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
73,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
74,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
75,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
76,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
77,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
78,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
79,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
80,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
81,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
82,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
83,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
84,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
85,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
86,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
87,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
88,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
89,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
90,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
91,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",1,"Letter of formal notice (Art. 258)",4
92,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
93,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
94,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
95,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
96,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
97,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",1,"Letter of formal notice (Art. 258)",28
98,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",2,"Reasoned opinion (Art. 258)",8
99,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",3,"Referral to the Court (Art. 258)",3
100,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",4,"Letter of formal notice (Art. 260)",1
101,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
102,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
103,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",1,"Letter of formal notice (Art. 258)",18
104,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",2,"Reasoned opinion (Art. 258)",4
105,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
106,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
107,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
108,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
109,2002,10,"Energy","ENER",1,"noncommunication",1,"Letter of formal notice (Art. 258)",6
110,2002,10,"Energy","ENER",1,"noncommunication",2,"Reasoned opinion (Art. 258)",3
111,2002,10,"Energy","ENER",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
112,2002,10,"Energy","ENER",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
113,2002,10,"Energy","ENER",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
114,2002,10,"Energy","ENER",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
115,2002,10,"Energy","ENER",2,"nonconformity",1,"Letter of formal notice (Art. 258)",6
116,2002,10,"Energy","ENER",2,"nonconformity",2,"Reasoned opinion (Art. 258)",1
117,2002,10,"Energy","ENER",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
118,2002,10,"Energy","ENER",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
119,2002,10,"Energy","ENER",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
120,2002,10,"Energy","ENER",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
121,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",1,"Letter of formal notice (Art. 258)",172
122,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",2,"Reasoned opinion (Art. 258)",38
123,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",3,"Referral to the Court (Art. 258)",8
124,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
125,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
126,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
127,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",1,"Letter of formal notice (Art. 258)",13
128,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",2,"Reasoned opinion (Art. 258)",3
129,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
130,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
131,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
132,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
133,2002,12,"Environment","ENV",1,"noncommunication",1,"Letter of formal notice (Art. 258)",64
134,2002,12,"Environment","ENV",1,"noncommunication",2,"Reasoned opinion (Art. 258)",29
135,2002,12,"Environment","ENV",1,"noncommunication",3,"Referral to the Court (Art. 258)",1
136,2002,12,"Environment","ENV",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
137,2002,12,"Environment","ENV",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
138,2002,12,"Environment","ENV",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
139,2002,12,"Environment","ENV",2,"nonconformity",1,"Letter of formal notice (Art. 258)",156
140,2002,12,"Environment","ENV",2,"nonconformity",2,"Reasoned opinion (Art. 258)",37
141,2002,12,"Environment","ENV",2,"nonconformity",3,"Referral to the Court (Art. 258)",17
142,2002,12,"Environment","ENV",2,"nonconformity",4,"Letter of formal notice (Art. 260)",17
143,2002,12,"Environment","ENV",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
144,2002,12,"Environment","ENV",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
145,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
146,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
147,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
148,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
149,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
150,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
151,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
152,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
153,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
154,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
155,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
156,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
157,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",6
158,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
159,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
160,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
161,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
162,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
163,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",1,"Letter of formal notice (Art. 258)",1
164,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
165,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
166,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
167,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
168,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
169,2002,15,"External Relations","RELEX",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
170,2002,15,"External Relations","RELEX",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
171,2002,15,"External Relations","RELEX",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
172,2002,15,"External Relations","RELEX",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
173,2002,15,"External Relations","RELEX",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
174,2002,15,"External Relations","RELEX",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
175,2002,15,"External Relations","RELEX",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
176,2002,15,"External Relations","RELEX",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
177,2002,15,"External Relations","RELEX",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
178,2002,15,"External Relations","RELEX",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
179,2002,15,"External Relations","RELEX",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
180,2002,15,"External Relations","RELEX",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
181,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
182,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
183,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
184,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
185,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
186,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
187,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
188,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
189,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
190,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
191,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
192,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
193,2002,17,"Health and Consumers","SANCO",1,"noncommunication",1,"Letter of formal notice (Art. 258)",207
194,2002,17,"Health and Consumers","SANCO",1,"noncommunication",2,"Reasoned opinion (Art. 258)",59
195,2002,17,"Health and Consumers","SANCO",1,"noncommunication",3,"Referral to the Court (Art. 258)",11
196,2002,17,"Health and Consumers","SANCO",1,"noncommunication",4,"Letter of formal notice (Art. 260)",3
197,2002,17,"Health and Consumers","SANCO",1,"noncommunication",5,"Reasoned opinion (Art. 260)",2
198,2002,17,"Health and Consumers","SANCO",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
199,2002,17,"Health and Consumers","SANCO",2,"nonconformity",1,"Letter of formal notice (Art. 258)",10
200,2002,17,"Health and Consumers","SANCO",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
201,2002,17,"Health and Consumers","SANCO",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
202,2002,17,"Health and Consumers","SANCO",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
203,2002,17,"Health and Consumers","SANCO",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
204,2002,17,"Health and Consumers","SANCO",2,"nonconformity",6,"Referral to the Court (Art. 260)",1
205,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
206,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
207,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
208,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
209,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
210,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
211,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
212,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
213,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
214,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
215,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
216,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
217,2002,19,"Human Resources and Security","HR",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
218,2002,19,"Human Resources and Security","HR",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
219,2002,19,"Human Resources and Security","HR",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
220,2002,19,"Human Resources and Security","HR",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
221,2002,19,"Human Resources and Security","HR",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
222,2002,19,"Human Resources and Security","HR",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
223,2002,19,"Human Resources and Security","HR",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
224,2002,19,"Human Resources and Security","HR",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
225,2002,19,"Human Resources and Security","HR",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
226,2002,19,"Human Resources and Security","HR",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
227,2002,19,"Human Resources and Security","HR",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
228,2002,19,"Human Resources and Security","HR",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
229,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",50
230,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",31
231,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",3,"Referral to the Court (Art. 258)",2
232,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
233,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
234,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
235,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",1,"Letter of formal notice (Art. 258)",104
236,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",2,"Reasoned opinion (Art. 258)",22
237,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",3,"Referral to the Court (Art. 258)",15
238,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",4,"Letter of formal notice (Art. 260)",5
239,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",5,"Reasoned opinion (Art. 260)",2
240,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
241,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
242,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
243,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
244,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
245,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
246,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
247,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",1,"Letter of formal notice (Art. 258)",0
248,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
249,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
250,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
251,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
252,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
253,2002,22,"Justice and Consumers","JUST",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
254,2002,22,"Justice and Consumers","JUST",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
255,2002,22,"Justice and Consumers","JUST",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
256,2002,22,"Justice and Consumers","JUST",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
257,2002,22,"Justice and Consumers","JUST",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
258,2002,22,"Justice and Consumers","JUST",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
259,2002,22,"Justice and Consumers","JUST",2,"nonconformity",1,"Letter of formal notice (Art. 258)",5
260,2002,22,"Justice and Consumers","JUST",2,"nonconformity",2,"Reasoned opinion (Art. 258)",4
