"key_ID","year","member_state_ID","member_state","member_state_code","case_type_ID","case_type","decision_stage_ID","decision_stage","count_decisions"
29,2002,3,"Germany","DE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
30,2002,3,"Germany","DE",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
31,2002,3,"Germany","DE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",39
32,2002,3,"Germany","DE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",6
33,2002,3,"Germany","DE",2,"nonconformity",3,"Referral to the Court (Art. 258)",4
34,2002,3,"Germany","DE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
35,2002,3,"Germany","DE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
36,2002,3,"Germany","DE",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
37,2002,4,"Italy","IT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",45
38,2002,4,"Italy","IT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",22
39,2002,4,"Italy","IT",1,"noncommunication",3,"Referral to the Court (Art. 258)",3
40,2002,4,"Italy","IT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
41,2002,4,"Italy","IT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
42,2002,4,"Italy","IT",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
43,2002,4,"Italy","IT",2,"nonconformity",1,"Letter of formal notice (Art. 258)",53
44,2002,4,"Italy","IT",2,"nonconformity",2,"Reasoned opinion (Art. 258)",9
45,2002,4,"Italy","IT",2,"nonconformity",3,"Referral to the Court (Art. 258)",4
46,2002,4,"Italy","IT",2,"nonconformity",4,"Letter of formal notice (Art. 260)",9
47,2002,4,"Italy","IT",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
48,2002,4,"Italy","IT",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
49,2002,5,"Luxembourg","LU",1,"noncommunication",1,"Letter of formal notice (Art. 258)",36
50,2002,5,"Luxembourg","LU",1,"noncommunication",2,"Reasoned opinion (Art. 258)",14
51,2002,5,"Luxembourg","LU",1,"noncommunication",3,"Referral to the Court (Art. 258)",1
52,2002,5,"Luxembourg","LU",1,"noncommunication",4,"Letter of formal notice (Art. 260)",1
53,2002,5,"Luxembourg","LU",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
54,2002,5,"Luxembourg","LU",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
55,2002,5,"Luxembourg","LU",2,"nonconformity",1,"Letter of formal notice (Art. 258)",11
56,2002,5,"Luxembourg","LU",2,"nonconformity",2,"Reasoned opinion (Art. 258)",2
57,2002,5,"Luxembourg","LU",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
58,2002,5,"Luxembourg","LU",2,"nonconformity",4,"Letter of formal notice (Art. 260)",4
59,2002,5,"Luxembourg","LU",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
60,2002,5,"Luxembourg","LU",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
61,2002,6,"Netherlands","NL",1,"noncommunication",1,"Letter of formal notice (Art. 258)",31
62,2002,6,"Netherlands","NL",1,"noncommunication",2,"Reasoned opinion (Art. 258)",4
63,2002,6,"Netherlands","NL",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
64,2002,6,"Netherlands","NL",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
65,2002,6,"Netherlands","NL",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
66,2002,6,"Netherlands","NL",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
67,2002,6,"Netherlands","NL",2,"nonconformity",1,"Letter of formal notice (Art. 258)",24
68,2002,6,"Netherlands","NL",2,"nonconformity",2,"Reasoned opinion (Art. 258)",1
69,2002,6,"Netherlands","NL",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
70,2002,6,"Netherlands","NL",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
71,2002,6,"Netherlands","NL",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
72,2002,6,"Netherlands","NL",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
73,2002,7,"Denmark","DK",1,"noncommunication",1,"Letter of formal notice (Art. 258)",30
74,2002,7,"Denmark","DK",1,"noncommunication",2,"Reasoned opinion (Art. 258)",2
75,2002,7,"Denmark","DK",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
76,2002,7,"Denmark","DK",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
77,2002,7,"Denmark","DK",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
78,2002,7,"Denmark","DK",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
79,2002,7,"Denmark","DK",2,"nonconformity",1,"Letter of formal notice (Art. 258)",10
80,2002,7,"Denmark","DK",2,"nonconformity",2,"Reasoned opinion (Art. 258)",1
81,2002,7,"Denmark","DK",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
82,2002,7,"Denmark","DK",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
83,2002,7,"Denmark","DK",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
84,2002,7,"Denmark","DK",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
85,2002,8,"Ireland","IE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",47
86,2002,8,"Ireland","IE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",13
87,2002,8,"Ireland","IE",1,"noncommunication",3,"Referral to the Court (Art. 258)",1
88,2002,8,"Ireland","IE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
89,2002,8,"Ireland","IE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
90,2002,8,"Ireland","IE",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
91,2002,8,"Ireland","IE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",26
92,2002,8,"Ireland","IE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",6
93,2002,8,"Ireland","IE",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
94,2002,8,"Ireland","IE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
95,2002,8,"Ireland","IE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
96,2002,8,"Ireland","IE",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
97,2002,9,"United Kingdom","UK",1,"noncommunication",1,"Letter of formal notice (Art. 258)",38
98,2002,9,"United Kingdom","UK",1,"noncommunication",2,"Reasoned opinion (Art. 258)",11
99,2002,9,"United Kingdom","UK",1,"noncommunication",3,"Referral to the Court (Art. 258)",1
100,2002,9,"United Kingdom","UK",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
101,2002,9,"United Kingdom","UK",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
102,2002,9,"United Kingdom","UK",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
103,2002,9,"United Kingdom","UK",2,"nonconformity",1,"Letter of formal notice (Art. 258)",14
104,2002,9,"United Kingdom","UK",2,"nonconformity",2,"Reasoned opinion (Art. 258)",1
105,2002,9,"United Kingdom","UK",2,"nonconformity",3,"Referral to the Court (Art. 258)",2
106,2002,9,"United Kingdom","UK",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
107,2002,9,"United Kingdom","UK",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
108,2002,9,"United Kingdom","UK",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
109,2002,10,"Greece","EL",1,"noncommunication",1,"Letter of formal notice (Art. 258)",47
110,2002,10,"Greece","EL",1,"noncommunication",2,"Reasoned opinion (Art. 258)",20
111,2002,10,"Greece","EL",1,"noncommunication",3,"Referral to the Court (Art. 258)",1
112,2002,10,"Greece","EL",1,"noncommunication",4,"Letter of formal notice (Art. 260)",3
113,2002,10,"Greece","EL",1,"noncommunication",5,"Reasoned opinion (Art. 260)",2
114,2002,10,"Greece","EL",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
115,2002,10,"Greece","EL",2,"nonconformity",1,"Letter of formal notice (Art. 258)",28
116,2002,10,"Greece","EL",2,"nonconformity",2,"Reasoned opinion (Art. 258)",8
117,2002,10,"Greece","EL",2,"nonconformity",3,"Referral to the Court (Art. 258)",3
118,2002,10,"Greece","EL",2,"nonconformity",4,"Letter of formal notice (Art. 260)",3
119,2002,10,"Greece","EL",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
120,2002,10,"Greece","EL",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
121,2002,11,"Portugal","PT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",54
122,2002,11,"Portugal","PT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",18
123,2002,11,"Portugal","PT",1,"noncommunication",3,"Referral to the Court (Art. 258)",2
124,2002,11,"Portugal","PT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
125,2002,11,"Portugal","PT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
126,2002,11,"Portugal","PT",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
127,2002,11,"Portugal","PT",2,"nonconformity",1,"Letter of formal notice (Art. 258)",21
128,2002,11,"Portugal","PT",2,"nonconformity",2,"Reasoned opinion (Art. 258)",4
129,2002,11,"Portugal","PT",2,"nonconformity",3,"Referral to the Court (Art. 258)",2
130,2002,11,"Portugal","PT",2,"nonconformity",4,"Letter of formal notice (Art. 260)",1
131,2002,11,"Portugal","PT",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
132,2002,11,"Portugal","PT",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
133,2002,12,"Spain","ES",1,"noncommunication",1,"Letter of formal notice (Art. 258)",32
134,2002,12,"Spain","ES",1,"noncommunication",2,"Reasoned opinion (Art. 258)",7
135,2002,12,"Spain","ES",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
136,2002,12,"Spain","ES",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
137,2002,12,"Spain","ES",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
138,2002,12,"Spain","ES",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
139,2002,12,"Spain","ES",2,"nonconformity",1,"Letter of formal notice (Art. 258)",53
140,2002,12,"Spain","ES",2,"nonconformity",2,"Reasoned opinion (Art. 258)",15
141,2002,12,"Spain","ES",2,"nonconformity",3,"Referral to the Court (Art. 258)",10
142,2002,12,"Spain","ES",2,"nonconformity",4,"Letter of formal notice (Art. 260)",1
143,2002,12,"Spain","ES",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
144,2002,12,"Spain","ES",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
145,2002,13,"Austria","AT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",43
146,2002,13,"Austria","AT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",25
147,2002,13,"Austria","AT",1,"noncommunication",3,"Referral to the Court (Art. 258)",9
148,2002,13,"Austria","AT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",1
149,2002,13,"Austria","AT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
150,2002,13,"Austria","AT",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
151,2002,13,"Austria","AT",2,"nonconformity",1,"Letter of formal notice (Art. 258)",23
152,2002,13,"Austria","AT",2,"nonconformity",2,"Reasoned opinion (Art. 258)",16
153,2002,13,"Austria","AT",2,"nonconformity",3,"Referral to the Court (Art. 258)",14
154,2002,13,"Austria","AT",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
155,2002,13,"Austria","AT",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
156,2002,13,"Austria","AT",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
157,2002,14,"Finland","FI",1,"noncommunication",1,"Letter of formal notice (Art. 258)",40
158,2002,14,"Finland","FI",1,"noncommunication",2,"Reasoned opinion (Art. 258)",6
159,2002,14,"Finland","FI",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
160,2002,14,"Finland","FI",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
161,2002,14,"Finland","FI",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
162,2002,14,"Finland","FI",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
163,2002,14,"Finland","FI",2,"nonconformity",1,"Letter of formal notice (Art. 258)",14
164,2002,14,"Finland","FI",2,"nonconformity",2,"Reasoned opinion (Art. 258)",2
165,2002,14,"Finland","FI",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
166,2002,14,"Finland","FI",2,"nonconformity",4,"Letter of formal notice (Art. 260)",1
167,2002,14,"Finland","FI",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
168,2002,14,"Finland","FI",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
169,2002,15,"Sweden","SE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",35
170,2002,15,"Sweden","SE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",2
171,2002,15,"Sweden","SE",1,"noncommunication",3,"Referral to the Court (Art. 258)",1
172,2002,15,"Sweden","SE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
173,2002,15,"Sweden","SE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
174,2002,15,"Sweden","SE",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
175,2002,15,"Sweden","SE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",16
176,2002,15,"Sweden","SE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",1
177,2002,15,"Sweden","SE",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
178,2002,15,"Sweden","SE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",1
179,2002,15,"Sweden","SE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
180,2002,15,"Sweden","SE",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
181,2003,1,"Belgium","BE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",79
182,2003,1,"Belgium","BE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",28
183,2003,1,"Belgium","BE",1,"noncommunication",3,"Referral to the Court (Art. 258)",9
184,2003,1,"Belgium","BE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",2
185,2003,1,"Belgium","BE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",1
186,2003,1,"Belgium","BE",1,"noncommunication",6,"Referral to the Court (Art. 260)",1
187,2003,1,"Belgium","BE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",25
188,2003,1,"Belgium","BE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",8
189,2003,1,"Belgium","BE",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
190,2003,1,"Belgium","BE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",3
191,2003,1,"Belgium","BE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",2
192,2003,1,"Belgium","BE",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
193,2003,2,"France","FR",1,"noncommunication",1,"Letter of formal notice (Art. 258)",77
194,2003,2,"France","FR",1,"noncommunication",2,"Reasoned opinion (Art. 258)",33
195,2003,2,"France","FR",1,"noncommunication",3,"Referral to the Court (Art. 258)",15
196,2003,2,"France","FR",1,"noncommunication",4,"Letter of formal notice (Art. 260)",2
197,2003,2,"France","FR",1,"noncommunication",5,"Reasoned opinion (Art. 260)",1
198,2003,2,"France","FR",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
199,2003,2,"France","FR",2,"nonconformity",1,"Letter of formal notice (Art. 258)",43
200,2003,2,"France","FR",2,"nonconformity",2,"Reasoned opinion (Art. 258)",10
201,2003,2,"France","FR",2,"nonconformity",3,"Referral to the Court (Art. 258)",6
202,2003,2,"France","FR",2,"nonconformity",4,"Letter of formal notice (Art. 260)",7
203,2003,2,"France","FR",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
204,2003,2,"France","FR",2,"nonconformity",6,"Referral to the Court (Art. 260)",1
205,2003,3,"Germany","DE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",83
206,2003,3,"Germany","DE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",21
207,2003,3,"Germany","DE",1,"noncommunication",3,"Referral to the Court (Art. 258)",7
208,2003,3,"Germany","DE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
209,2003,3,"Germany","DE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
210,2003,3,"Germany","DE",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
211,2003,3,"Germany","DE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",33
212,2003,3,"Germany","DE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",8
213,2003,3,"Germany","DE",2,"nonconformity",3,"Referral to the Court (Art. 258)",2
214,2003,3,"Germany","DE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",4
215,2003,3,"Germany","DE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
216,2003,3,"Germany","DE",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
217,2003,4,"Italy","IT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",90
218,2003,4,"Italy","IT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",39
219,2003,4,"Italy","IT",1,"noncommunication",3,"Referral to the Court (Art. 258)",20
220,2003,4,"Italy","IT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
221,2003,4,"Italy","IT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
222,2003,4,"Italy","IT",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
223,2003,4,"Italy","IT",2,"nonconformity",1,"Letter of formal notice (Art. 258)",66
224,2003,4,"Italy","IT",2,"nonconformity",2,"Reasoned opinion (Art. 258)",28
225,2003,4,"Italy","IT",2,"nonconformity",3,"Referral to the Court (Art. 258)",10
226,2003,4,"Italy","IT",2,"nonconformity",4,"Letter of formal notice (Art. 260)",7
227,2003,4,"Italy","IT",2,"nonconformity",5,"Reasoned opinion (Art. 260)",3
228,2003,4,"Italy","IT",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
229,2003,5,"Luxembourg","LU",1,"noncommunication",1,"Letter of formal notice (Art. 258)",68
230,2003,5,"Luxembourg","LU",1,"noncommunication",2,"Reasoned opinion (Art. 258)",33
231,2003,5,"Luxembourg","LU",1,"noncommunication",3,"Referral to the Court (Art. 258)",13
232,2003,5,"Luxembourg","LU",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
233,2003,5,"Luxembourg","LU",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
234,2003,5,"Luxembourg","LU",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
235,2003,5,"Luxembourg","LU",2,"nonconformity",1,"Letter of formal notice (Art. 258)",18
236,2003,5,"Luxembourg","LU",2,"nonconformity",2,"Reasoned opinion (Art. 258)",3
237,2003,5,"Luxembourg","LU",2,"nonconformity",3,"Referral to the Court (Art. 258)",2
238,2003,5,"Luxembourg","LU",2,"nonconformity",4,"Letter of formal notice (Art. 260)",3
239,2003,5,"Luxembourg","LU",2,"nonconformity",5,"Reasoned opinion (Art. 260)",3
240,2003,5,"Luxembourg","LU",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
241,2003,6,"Netherlands","NL",1,"noncommunication",1,"Letter of formal notice (Art. 258)",72
242,2003,6,"Netherlands","NL",1,"noncommunication",2,"Reasoned opinion (Art. 258)",23
243,2003,6,"Netherlands","NL",1,"noncommunication",3,"Referral to the Court (Art. 258)",10
244,2003,6,"Netherlands","NL",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
245,2003,6,"Netherlands","NL",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
246,2003,6,"Netherlands","NL",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
247,2003,6,"Netherlands","NL",2,"nonconformity",1,"Letter of formal notice (Art. 258)",22
248,2003,6,"Netherlands","NL",2,"nonconformity",2,"Reasoned opinion (Art. 258)",10
249,2003,6,"Netherlands","NL",2,"nonconformity",3,"Referral to the Court (Art. 258)",3
250,2003,6,"Netherlands","NL",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
251,2003,6,"Netherlands","NL",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
252,2003,6,"Netherlands","NL",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
253,2003,7,"Denmark","DK",1,"noncommunication",1,"Letter of formal notice (Art. 258)",47
254,2003,7,"Denmark","DK",1,"noncommunication",2,"Reasoned opinion (Art. 258)",2
255,2003,7,"Denmark","DK",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
256,2003,7,"Denmark","DK",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
257,2003,7,"Denmark","DK",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
258,2003,7,"Denmark","DK",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
259,2003,7,"Denmark","DK",2,"nonconformity",1,"Letter of formal notice (Art. 258)",8
260,2003,7,"Denmark","DK",2,"nonconformity",2,"Reasoned opinion (Art. 258)",0
261,2003,7,"Denmark","DK",2,"nonconformity",3,"Referral to the Court (Art. 258)",1
262,2003,7,"Denmark","DK",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
263,2003,7,"Denmark","DK",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
264,2003,7,"Denmark","DK",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
265,2003,8,"Ireland","IE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",70
266,2003,8,"Ireland","IE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",23
267,2003,8,"Ireland","IE",1,"noncommunication",3,"Referral to the Court (Art. 258)",14
268,2003,8,"Ireland","IE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",3
269,2003,8,"Ireland","IE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
270,2003,8,"Ireland","IE",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
271,2003,8,"Ireland","IE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",30
272,2003,8,"Ireland","IE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",11
273,2003,8,"Ireland","IE",2,"nonconformity",3,"Referral to the Court (Art. 258)",7
274,2003,8,"Ireland","IE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
275,2003,8,"Ireland","IE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
276,2003,8,"Ireland","IE",2,"nonconformity",6,"Referral to the Court (Art. 260)",1
277,2003,9,"United Kingdom","UK",1,"noncommunication",1,"Letter of formal notice (Art. 258)",77
278,2003,9,"United Kingdom","UK",1,"noncommunication",2,"Reasoned opinion (Art. 258)",15
279,2003,9,"United Kingdom","UK",1,"noncommunication",3,"Referral to the Court (Art. 258)",7
280,2003,9,"United Kingdom","UK",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
281,2003,9,"United Kingdom","UK",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
282,2003,9,"United Kingdom","UK",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
283,2003,9,"United Kingdom","UK",2,"nonconformity",1,"Letter of formal notice (Art. 258)",34
284,2003,9,"United Kingdom","UK",2,"nonconformity",2,"Reasoned opinion (Art. 258)",8
285,2003,9,"United Kingdom","UK",2,"nonconformity",3,"Referral to the Court (Art. 258)",3
286,2003,9,"United Kingdom","UK",2,"nonconformity",4,"Letter of formal notice (Art. 260)",1
287,2003,9,"United Kingdom","UK",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
288,2003,9,"United Kingdom","UK",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
289,2003,10,"Greece","EL",1,"noncommunication",1,"Letter of formal notice (Art. 258)",86
290,2003,10,"Greece","EL",1,"noncommunication",2,"Reasoned opinion (Art. 258)",39
291,2003,10,"Greece","EL",1,"noncommunication",3,"Referral to the Court (Art. 258)",18
292,2003,10,"Greece","EL",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
293,2003,10,"Greece","EL",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
294,2003,10,"Greece","EL",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
295,2003,10,"Greece","EL",2,"nonconformity",1,"Letter of formal notice (Art. 258)",30
296,2003,10,"Greece","EL",2,"nonconformity",2,"Reasoned opinion (Art. 258)",11
297,2003,10,"Greece","EL",2,"nonconformity",3,"Referral to the Court (Art. 258)",5
298,2003,10,"Greece","EL",2,"nonconformity",4,"Letter of formal notice (Art. 260)",1
299,2003,10,"Greece","EL",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
300,2003,10,"Greece","EL",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
301,2003,11,"Portugal","PT",1,"noncommunication",1,"Letter of formal notice (Art. 258)",100
302,2003,11,"Portugal","PT",1,"noncommunication",2,"Reasoned opinion (Art. 258)",36
303,2003,11,"Portugal","PT",1,"noncommunication",3,"Referral to the Court (Art. 258)",12
304,2003,11,"Portugal","PT",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
305,2003,11,"Portugal","PT",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
