"key_ID","year","case_type_ID","case_type","decision_stage_ID","decision_stage","count_cases"
135,2013,1,"noncommunication",3,"Referral to the Court (Art. 258)",2
136,2013,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
137,2013,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
138,2013,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
139,2013,2,"nonconformity",1,"Letter of formal notice (Art. 258)",327
140,2013,2,"nonconformity",2,"Reasoned opinion (Art. 258)",112
141,2013,2,"nonconformity",3,"Referral to the Court (Art. 258)",54
142,2013,2,"nonconformity",4,"Letter of formal notice (Art. 260)",12
143,2013,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
144,2013,2,"nonconformity",6,"Referral to the Court (Art. 260)",6
145,2014,1,"noncommunication",1,"Letter of formal notice (Art. 258)",586
146,2014,1,"noncommunication",2,"Reasoned opinion (Art. 258)",99
147,2014,1,"noncommunication",3,"Referral to the Court (Art. 258)",1
148,2014,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
149,2014,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
150,2014,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
151,2014,2,"nonconformity",1,"Letter of formal notice (Art. 258)",350
152,2014,2,"nonconformity",2,"Reasoned opinion (Art. 258)",156
153,2014,2,"nonconformity",3,"Referral to the Court (Art. 258)",47
154,2014,2,"nonconformity",4,"Letter of formal notice (Art. 260)",10
155,2014,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
156,2014,2,"nonconformity",6,"Referral to the Court (Art. 260)",2
157,2015,1,"noncommunication",1,"Letter of formal notice (Art. 258)",544
158,2015,1,"noncommunication",2,"Reasoned opinion (Art. 258)",119
159,2015,1,"noncommunication",3,"Referral to the Court (Art. 258)",2
160,2015,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
161,2015,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
162,2015,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
163,2015,2,"nonconformity",1,"Letter of formal notice (Art. 258)",238
164,2015,2,"nonconformity",2,"Reasoned opinion (Art. 258)",130
165,2015,2,"nonconformity",3,"Referral to the Court (Art. 258)",50
166,2015,2,"nonconformity",4,"Letter of formal notice (Art. 260)",8
167,2015,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
168,2015,2,"nonconformity",6,"Referral to the Court (Art. 260)",3
169,2016,1,"noncommunication",1,"Letter of formal notice (Art. 258)",847
170,2016,1,"noncommunication",2,"Reasoned opinion (Art. 258)",196
171,2016,1,"noncommunication",3,"Referral to the Court (Art. 258)",0
172,2016,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
173,2016,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
174,2016,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
175,2016,2,"nonconformity",1,"Letter of formal notice (Art. 258)",155
176,2016,2,"nonconformity",2,"Reasoned opinion (Art. 258)",98
177,2016,2,"nonconformity",3,"Referral to the Court (Art. 258)",31
178,2016,2,"nonconformity",4,"Letter of formal notice (Art. 260)",8
179,2016,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
180,2016,2,"nonconformity",6,"Referral to the Court (Art. 260)",6
181,2017,1,"noncommunication",1,"Letter of formal notice (Art. 258)",557
182,2017,1,"noncommunication",2,"Reasoned opinion (Art. 258)",195
183,2017,1,"noncommunication",3,"Referral to the Court (Art. 258)",1
184,2017,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
185,2017,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
186,2017,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
187,2017,2,"nonconformity",1,"Letter of formal notice (Art. 258)",178
188,2017,2,"nonconformity",2,"Reasoned opinion (Art. 258)",81
189,2017,2,"nonconformity",3,"Referral to the Court (Art. 258)",28
190,2017,2,"nonconformity",4,"Letter of formal notice (Art. 260)",11
191,2017,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
192,2017,2,"nonconformity",6,"Referral to the Court (Art. 260)",0
193,2018,1,"noncommunication",1,"Letter of formal notice (Art. 258)",419
194,2018,1,"noncommunication",2,"Reasoned opinion (Art. 258)",109
195,2018,1,"noncommunication",3,"Referral to the Court (Art. 258)",3
196,2018,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
197,2018,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
198,2018,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
199,2018,2,"nonconformity",1,"Letter of formal notice (Art. 258)",240
200,2018,2,"nonconformity",2,"Reasoned opinion (Art. 258)",48
201,2018,2,"nonconformity",3,"Referral to the Court (Art. 258)",29
202,2018,2,"nonconformity",4,"Letter of formal notice (Art. 260)",5
203,2018,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
204,2018,2,"nonconformity",6,"Referral to the Court (Art. 260)",2
205,2019,1,"noncommunication",1,"Letter of formal notice (Art. 258)",406
206,2019,1,"noncommunication",2,"Reasoned opinion (Art. 258)",160
207,2019,1,"noncommunication",3,"Referral to the Court (Art. 258)",1
208,2019,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
209,2019,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
210,2019,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
211,2019,2,"nonconformity",1,"Letter of formal notice (Art. 258)",422
212,2019,2,"nonconformity",2,"Reasoned opinion (Art. 258)",157
213,2019,2,"nonconformity",3,"Referral to the Court (Art. 258)",31
214,2019,2,"nonconformity",4,"Letter of formal notice (Art. 260)",7
215,2019,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
216,2019,2,"nonconformity",6,"Referral to the Court (Art. 260)",3
217,2020,1,"noncommunication",1,"Letter of formal notice (Art. 258)",134
218,2020,1,"noncommunication",2,"Reasoned opinion (Art. 258)",2
219,2020,1,"noncommunication",3,"Referral to the Court (Art. 258)",0
220,2020,1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
221,2020,1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
222,2020,1,"noncommunication",6,"Referral to the Court (Art. 260)",0
223,2020,2,"nonconformity",1,"Letter of formal notice (Art. 258)",13
224,2020,2,"nonconformity",2,"Reasoned opinion (Art. 258)",9
225,2020,2,"nonconformity",3,"Referral to the Court (Art. 258)",2
226,2020,2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
227,2020,2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
228,2020,2,"nonconformity",6,"Referral to the Court (Art. 260)",0
